Endothelial	InnateLymphoid	Leydig	Macrophage	Myoid	Sertoli	Unknown
1110019D14Rik	0.0402276113821854	0	0.153798133205163	0.145613652835549	0.46043368624294	0.0647965263227351	0.0710267998551931
1110020A21Rik	0.0154845000268171	0	0.0217629758308266	0.0480738118562491	0.0783209619818303	0.098790189918215	0.0476764169817247
1110025M09Rik	0.0596673657782504	0	0.0204220905523858	0.0623098272805842	0	0.0419517735832691	0.0289472811229644
1110032A03Rik	0.588660851020518	0.132564596972212	0.597488552320691	0.358107090015442	0.465387316898938	0.924269659783459	0.651385330524902
1110034G24Rik	0.168840526914747	0.0523197526172948	0.095703315914126	0.0751598097281891	0	0.0560314629112075	0.0807326061768234
1110035H17Rik	0	0	0.016081656227082	0.0412248728229686	0.0684406620565912	0.0242412598294044	0.0351946771347152
1110037F02Rik	0.39856187150233	0.373835883037522	0.321261978391696	0.217824691986301	0	0.470610812934419	0.370803482403772
1110038B12Rik	0.17897545922404	0.0327520170039835	0.273007045795227	0.218259992770878	0	0.190100014953641	0.380780072308163
1110038F14Rik	0.530376693634489	0.59988036468508	0.314598636746196	0.488231093653473	0.429357652944282	0.435669424295047	0.495608672984197
1110046J04Rik	0.0422195804468734	0	0.0640971746717709	0.0177346394598405	0.134818702703224	0.150455805722342	0.0882781691377567
1110051M20Rik	0.0920888082540894	0.0497852974283617	0.31041127437089	0.176631724583583	0.109065371687096	0.171676211876496	0.229330602010213
1110059E24Rik	0.438919066063378	0.348844057537197	0.232466758133666	0.168484112251506	0.969790159916724	0.212313185633151	0.287331049735776
1110059G10Rik	0.433236792466084	0.351887191217788	0.279939982851472	0.484546191906814	0.856630450157682	0.417841249116969	0.489576706037789
1110065P20Rik	0.24828124031604	0.183948368045277	0.6729502407228	0.32153288212212	0.528647190379657	0.891170938124428	0.381020563348184
1190002F15Rik	0.152901856560869	0.462405584832819	0.0232693528605962	0.0964902679660823	0.111267756335116	0.0127521748799531	0.0205238393242622
1190002N15Rik	0.0822607065852002	0.327867418831409	0.114985424459438	0.108851706339749	0	0.0709447127596685	0.0469831577467803
1190005I06Rik	0.0440246584165412	0	0.031941688689593	0.00496499218145133	0	0.0618243862537783	0.0291733907340182
1190007I07Rik	0.266389778812245	0.0497852974283617	0.289710798443882	0.170787424286576	0	0.0863977385551543	0.136385353476982
1200007C13Rik	0.0518385035419527	0	0.0438819108825775	0.014549178733462	0.186568499498822	0.00195353006448819	0.0203879275365881
1200014J11Rik	0.518699026641529	0.721648832629525	0.439033846681443	0.347006617564242	0.20896068216124	0.331974647549511	0.411139994839612
1300002E11Rik	0.43749684714488	0.294066321197387	0.416823677428864	0.227946690289659	0.42988477931481	0.15143184009684	0.25800813460343
1300017J02Rik	0.0198187580727421	0	0.00672745417645809	0	0	0.00980430059137619	0.00788132932209268
1500002C15Rik	0	0	0.0608570184624715	0.0515380621192223	0	0.0706530304679719	0.0205801122539743
1500002F19Rik	0.0938043751601148	0	0.021695550616782	0	0	0.0111229874588721	0.0216993135562115
