1	2	3	4	5	6	7
0610007P14Rik	0	0.578905564549257	0.639003985519226	0.676998559477315	0.607881775775282	0.720199552451944	1.13464813605587
0610009B22Rik	0.285281048253704	0.337606249804498	0.419656972003331	0.462942763496101	0.355918205791495	0.452359582998208	0.629910862755281
0610009E02Rik	0.420170111948706	0.0152402944897205	0.0144238799090453	0.0194930088779717	0.0284251655654963	0.0107877325780001	0.044545100393012
0610009L18Rik	0	0.254093350969567	0.017374466333925	0.0282659355640003	0.0536488835938543	0.0951937436159134	0.111490160310037
0610009O20Rik	0.352325535293177	0.114436599008114	0.100851986816783	0.0945768482406375	0.0714634952121286	0.0381611590971635	0.0762201757334083
0610010F05Rik	0	0.151219702424136	0.302587396660379	0.3127341257818	0.209814517655706	0.211640415405809	0.173604087189544
0610010K14Rik	0	0.0442759058882538	0.0174005088051656	0.0201308595044085	0.0103502914436461	0.0038147441287001	0.00926200114025407
0610011F06Rik	0	0.365328013836605	0.203330242554247	0.265386616934397	0.172391301316492	0.351436605267332	0.675239706489064
0610025J13Rik	0	0.0236748141522245	0.00266618904330326	0.00176360588194101	0.000415811417885526	0.00118359359181332	0.00475947600026837
0610030E20Rik	0.63537127777224	0.453931624871711	0.261144853879807	0.190338159253964	0.179221802053758	0.271323952666896	0.207841315203275
0610037L13Rik	0.520344151399353	0.599769684495292	0.559319799439203	0.424748683243346	0.500907481676681	0.430596530629938	0.416356551981373
0610038B21Rik	0	0.0694310941014467	0.00917156307254642	0.0202060059029763	0.0388586659446846	0.029045074618829	0.0197573619294143
0610040B10Rik	0	0.0787893140599345	0.0306158149169593	0.0374529979696574	0.0263439904064074	0.0512671009230914	0.0675046586760017
0610043K17Rik	0	0.0697293933636697	0.00179297824705157	0.00410781945411808	0.000509523073489226	0.0292678797688035	0
1010001B22Rik	0	0.027743212412965	0.0327234748991406	0.00551753543866394	0.00176306731237097	0.0319907376190212	0.0420015132830533
1010001N08Rik	0	0	0	0	0.00510424882161113	0	0.0326789043897147
1110001J03Rik	0.74709723764626	0.83287177767565	0.514287779567037	0.400365429133884	0.498843834877509	0.540512556996904	0.749496834088409
1110002L01Rik	0.12365681049504	0.0762388923647588	0.165844010079851	0.176025507517024	0.12258260998827	0.0652291077438651	0.134496600394069
1110002O04Rik	0	0.0119447191789866	0.012611305863906	0.00442089400733515	0.00799964983993837	0.0147587628070953	0
1110004E09Rik	0.481559582868893	0.390039515024111	0.501613151543493	0.421866907054718	0.316129968187645	0.317889419017751	0.388835277039793
1110004F10Rik	0.946123303025949	1.22600943351241	1.08859070130615	0.967007748543911	1.04582780953258	0.853380106126403	0.765281828206359
1110007C09Rik	0.527322087869961	0.612321707864659	0.745175245116657	0.920232749484563	0.671681821097873	0.805121356104903	0.954768239546067
1110008F13Rik	0.858779931263423	0.516498221804901	1.12763617646937	1.1741211409808	1.05405267897804	1.06420862201079	1.31742844871299
1110008L16Rik	0	0.0982721551809171	0.0323483358011904	0.045195979394362	0.0379694967022978	0.0798282966291166	0.0711531585309235
1110008P14Rik	0.843616790505627	0.343740884137009	0.43970357018241	0.761947250875814	0.403824309670208	0.714216914655838	1.63551449419233
1110012L19Rik	0.289269193501994	0.515778532949102	0.208431335545071	0.305683755465263	0.350402182602939	0.321899527706053	0.230709945979599
1110017D15Rik	0	0.118078013771617	0.0114394394591652	0.00279196587100176	0.0224942932276273	0.0152697555878279	0.00281839530188076
1110018N20Rik	0	0.0226805364116487	0.00656485818058644	0.00981904395293099	0.00845891422425377	0.0117124063922932	0.00830103331342329
1110019D14Rik	0.248402706552068	0.0466417080664582	0.103202321930597	0.11714568735033	0.0605242267503659	0.10665816063264	0.128062494684783
1110020A21Rik	0	0.0515560493013142	0.0165269200403737	0.00539100136406724	0.00698501765041176	0.0214546792839629	0.00554785222248068
1110025M09Rik	0.248402706552068	0.0163176218023605	0.00846624186434865	0.00692065905715848	0.0155720892576726	0.0303987595587164	0.00759834145916081
1110032A03Rik	0.0752834782282902	0.575203345255466	0.198125200940337	0.278012291729766	0.209958885589255	0.337637100894344	0.344056022701726
1110034G24Rik	0.451237332427999	0.0483278743607274	0.0578125994380436	0.0440698902366046	0.0485558300911072	0.0668127454172578	0.0444772622880809
1110035H17Rik	0	0.0356506067837167	0.00460752291749456	0.0160492870905615	0.00249234724490749	0.0047664283482295	0.0283292600874028
1110037F02Rik	0.430671069963384	0.340347880440966	0.504331520799033	0.467053811734042	0.475985510015712	0.370614898155921	0.335366054291091
1110038B12Rik	0.403090029232688	0.488277332484496	0.696519189000155	0.75122117984853	0.694941158529893	0.849301686785	0.625355167082833
1110038F14Rik	0.348525181053183	0.41041136116391	0.375484341752782	0.406826000511205	0.363390421413292	0.486604387841423	0.351582030501798
1110046J04Rik	0	0.125977997757489	0.124932171852369	0.144329249275613	0.135109203536807	0.164868605942743	0.10110318505034
1110051M20Rik	0	0.173432358626068	0.139810250879035	0.181167491320259	0.17405067099771	0.205022518089236	0.146632306395129
1110059E24Rik	0.111848300136569	0.305921938779158	0.219575919673559	0.181713739112036	0.146011733626645	0.172192420900477	0.163185437214084
1110059G10Rik	0.239257287022908	0.5269844026635	0.314145057838876	0.3083266212975	0.303292125674497	0.294939379838748	0.191709122733685
